date_sk,merchant_sk,currency_code,transaction_count,succeeded_count,failed_count,total_amount,total_amount_usd,net_amount_usd,refund_count,dispute_count,fraud_count
20250914,46,JPY,1,1,0,6861.0,46.07,44.43,0,0,0
20250915,7,EUR,1,1,0,77.06,83.31,80.59,0,0,0
20250915,10,AUD,1,1,0,205.25,135.65,131.42,0,0,0
20250915,15,GBP,1,1,0,53.61,68.13,-2.28,1,0,0
20250915,33,USD,1,1,0,144.32,144.32,139.83,0,0,0
20250916,2,NGN,1,1,0,66494.26,43.02,41.47,0,0,0
20250916,7,EUR,1,1,0,131.02,141.93,137.51,0,0,0
20250916,13,GBP,1,1,0,65.29,83.0,80.29,0,0,0
20250916,40,JPY,1,1,0,6197.0,41.76,40.25,0,0,0
20250916,42,GBP,1,1,0,53.01,67.39,65.14,0,0,0
20250916,46,JPY,1,1,0,6861.0,46.23,44.59,0,0,0
20250917,42,GBP,1,1,0,101.8,129.12,125.08,0,0,0
20250918,27,USD,1,1,0,36.02,36.02,34.68,0,0,0
20250918,32,EUR,1,1,0,25.62,27.86,26.75,0,0,0
20250919,1,USD,1,1,0,169.96,169.96,164.73,0,0,0
20250919,5,GBP,3,2,1,150.48,191.16,185.01,0,0,0
20250920,9,EUR,1,1,0,149.64,163.38,158.34,0,0,1
20250920,12,JPY,1,1,0,6987.0,46.92,45.26,0,0,0
20250920,19,NGN,1,1,0,45818.2,29.65,28.49,0,0,0
20250920,52,CAD,1,1,0,187.03,139.7,135.35,0,0,0
20250921,5,GBP,1,1,0,108.03,138.23,133.92,0,0,0
20250921,23,EUR,1,1,0,36.97,40.46,38.99,0,0,0
20250921,36,EUR,1,1,0,5.54,6.06,5.58,0,0,0
20250921,40,JPY,1,1,0,7873.0,52.89,51.06,0,0,0
20250924,8,EUR,1,0,1,0.0,0.0,0.0,0,0,0
20250924,12,JPY,1,1,0,6987.0,46.89,45.23,0,0,0
20250925,10,AUD,1,1,0,123.44,82.13,79.45,0,0,1
20250926,35,NGN,1,1,0,35742.9,23.17,22.2,0,0,0
20250926,44,EUR,1,1,0,26.7,29.17,28.02,0,0,0
20250927,13,GBP,1,1,0,88.22,114.18,110.57,0,1,1
20250927,51,NGN,1,1,0,20713.33,13.38,12.69,0,0,0
20250928,2,NGN,1,1,0,121067.84,78.57,75.99,0,0,0
20250928,12,JPY,1,1,0,6987.0,46.58,44.93,0,0,0
20250928,25,NGN,1,1,0,50799.43,32.97,31.71,0,0,0
20250928,45,USD,1,1,0,92.8,92.8,89.81,0,0,0
20250928,50,AUD,1,1,0,155.77,103.15,99.86,0,0,1
20250929,6,GBP,1,1,0,31.96,41.18,39.69,0,0,0
20250930,1,USD,1,1,0,136.28,136.28,132.03,0,1,0
20250930,47,BRL,1,1,0,179.52,32.68,31.43,0,0,0
20251002,16,EUR,1,1,0,26.85,28.82,27.68,0,1,1
20251002,21,SGD,1,1,0,22.43,16.96,16.17,0,1,0
